run_id,patient_id,phase,iteration,http_status,client_ms,cloud_run_ms,matched_codes,reproduction_failures,baseline_points,engine_points
mockpartner-20260713042657201,1001,warmup,0,200,19561.24,18994.423,3,0,1988,1988
mockpartner-20260713042657201,1001,measured,1,200,522.95,484.735,3,0,1988,1988
mockpartner-20260713042657201,1001,measured,2,200,272.39,254.953,3,0,1988,1988
mockpartner-20260713042657201,1001,measured,3,200,277.87,260.299,3,0,1988,1988
mockpartner-20260713042657201,1006,warmup,0,200,493.50,410.928,6,0,4326,4326
mockpartner-20260713042657201,1006,measured,1,200,414.16,396.839,6,0,4326,4326
mockpartner-20260713042657201,1006,measured,2,200,402.26,377.189,6,0,4326,4326
mockpartner-20260713042657201,1006,measured,3,200,469.62,399.305,6,0,4326,4326
mockpartner-20260713042657201,1013,warmup,0,200,300.85,282.894,6,0,2438,2438
mockpartner-20260713042657201,1013,measured,1,200,298.99,285.212,6,0,2438,2438
mockpartner-20260713042657201,1013,measured,2,200,502.42,485.723,6,0,2438,2438
mockpartner-20260713042657201,1013,measured,3,200,261.21,247.053,6,0,2438,2438
