scenario,repeat,visit,operation,client_ms,cloud_total_ms,prepare_ms,openai_ms,python_ms,cache_hit,cached_input_ratio,total_points
primary,1,1,create_session,3151.54,,,,,,,
primary,1,1,calculate,17175.36,16667,8910,8666,6560,false,0,293
primary,1,1,detail,189.93,,,,,,,
primary,1,2,create_session,322.37,,,,,,,
primary,1,2,calculate,15526.64,15246,14477,14221,30,true,0.6816,78
primary,1,2,detail,239.68,,,,,,,
primary,1,,monthly_receipt,219.40,,,,,,,
primary,1,,baseline_diagnosis,162.24,,,,,,,
primary,2,1,create_session,266.44,,,,,,,
primary,2,1,calculate,15520.34,15235,14532,14473,23,true,0.8521,293
primary,2,1,detail,337.64,,,,,,,
primary,2,2,create_session,361.95,,,,,,,
primary,2,2,calculate,8149.08,7927,7234,7157,28,true,0.8633,78
primary,2,2,detail,272.10,,,,,,,
primary,2,,monthly_receipt,135.38,,,,,,,
primary,2,,baseline_diagnosis,214.08,,,,,,,
primary,3,1,create_session,281.67,,,,,,,
primary,3,1,calculate,9190.96,8818,8192,8154,25,true,0.8521,293
primary,3,1,detail,300.69,,,,,,,
primary,3,2,create_session,381.78,,,,,,,
primary,3,2,calculate,8020.68,7826,7278,7198,28,true,0.8633,78
primary,3,2,detail,221.38,,,,,,,
primary,3,,monthly_receipt,250.85,,,,,,,
primary,3,,baseline_diagnosis,210.82,,,,,,,
known_start_date_control,1,,seed_prior_history,767.78,,,,,,,
known_start_date_control,1,1,calculate,8883.30,,,,,,,293
known_start_date_control,1,2,calculate,10894.98,,,,,,,78
known_start_date_control,1,,monthly_receipt,175.85,,,,,,,
known_start_date_control,1,,baseline_diagnosis,237.71,,,,,,,
known_start_date_control,2,,seed_prior_history,260.51,,,,,,,
known_start_date_control,2,1,calculate,10795.39,,,,,,,293
known_start_date_control,2,2,calculate,11025.54,,,,,,,78
known_start_date_control,2,,monthly_receipt,187.51,,,,,,,
known_start_date_control,2,,baseline_diagnosis,279.44,,,,,,,
known_start_date_control,3,,seed_prior_history,245.47,,,,,,,
known_start_date_control,3,1,calculate,21397.06,,,,,,,293
known_start_date_control,3,2,calculate,13501.48,,,,,,,78
known_start_date_control,3,,monthly_receipt,394.37,,,,,,,
known_start_date_control,3,,baseline_diagnosis,511.83,,,,,,,
